model,noise,type,PSNR,MSE
admm_tv,gau10,denoised,31.5,0.0007126563472619048
admm_tv,gau10,original,29.6,0.0010936270665128792
admm_tv,gau10,denoised,31.6,0.0006938708776441206
admm_tv,gau10,original,29.3,0.0011628296808919645
admm_tv,gau10,denoised,31.4,0.0007272277283708675
admm_tv,gau10,original,29.3,0.0011749511726259134
admm_tv,gau10,denoised,31.3,0.0007496630677299381
admm_tv,gau10,original,29.3,0.0011843433294886582
admm_tv,gau10,denoised,31.1,0.0007821234340139251
admm_tv,gau10,original,29.2,0.0012030661284121492
admm_tv,gau10,denoised,30.9,0.0008142852624640392
admm_tv,gau10,original,29.1,0.0012184521337946946
admm_tv,gau10,denoised,30.9,0.0008187250747158772
admm_tv,gau10,original,29.1,0.0012285732410611302
admm_tv,gau10,denoised,30.8,0.0008246015226090014
admm_tv,gau10,original,29.2,0.001210191849288735
admm_tv,gau10,denoised,30.8,0.0008288934576866691
admm_tv,gau10,original,29.3,0.0011835670895809305
admm_tv,gau10,denoised,31.1,0.0007785176871928776
admm_tv,gau10,original,28.9,0.0012864778931180312
admm_tv,gau10,denoised,30.5,0.0008815349302740053
admm_tv,gau10,original,28.9,0.0012875513264129182
admm_tv,gau10,denoised,30.5,0.0008967412077189588
admm_tv,gau10,original,28.9,0.0012977981545559398
admm_tv,gau10,denoised,30.4,0.0009137262939606953
admm_tv,gau10,original,28.9,0.0012887020376778162
admm_tv,gau10,denoised,30.4,0.00091417093605335
admm_tv,gau10,original,28.9,0.0012774621299500189
admm_tv,gau10,denoised,30.5,0.00090129754838849
admm_tv,gau10,original,29.0,0.001259843906189927
admm_tv,gau10,denoised,30.5,0.0008957043791786613
admm_tv,gau10,original,29.0,0.0012715520953479429
admm_tv,gau10,denoised,30.5,0.0008963594377591534
admm_tv,gau10,original,29.0,0.0012553241061130337
admm_tv,gau10,denoised,30.6,0.0008729561883310883
admm_tv,gau10,original,29.0,0.001265734332948866
admm_tv,gau10,denoised,30.7,0.0008555826848489628
admm_tv,gau10,original,29.1,0.0012236897347174165
admm_tv,gau10,denoised,30.8,0.0008323104749444923
admm_tv,gau10,original,29.2,0.0012025693963860053
admm_tv,gau10,denoised,31.0,0.0007913611332917456
admm_tv,gau10,original,29.2,0.0011934209919261822
admm_tv,gau10,denoised,31.0,0.0008016453589763256
admm_tv,gau10,original,29.1,0.0012181649365628606
admm_tv,gau10,denoised,31.0,0.0007966780562992161
admm_tv,gau10,original,29.1,0.0012350399846212995
admm_tv,gau10,denoised,30.9,0.0008037457105735929
admm_tv,gau10,original,29.1,0.0012435451749327182
admm_tv,gau10,denoised,30.9,0.000815999527120618
admm_tv,gau10,original,29.0,0.0012719900038446752
admm_tv,gau10,denoised,30.7,0.0008425293845205845
admm_tv,gau10,original,29.0,0.0012580953479430991
admm_tv,gau10,denoised,30.7,0.0008423760041678956
admm_tv,gau10,original,29.0,0.0012543440984236832
admm_tv,gau10,denoised,30.8,0.0008377117399518705
admm_tv,gau10,original,29.0,0.0012631564782775856
admm_tv,gau10,denoised,30.7,0.0008496621841053543
admm_tv,gau10,original,29.2,0.001213146866589773
admm_tv,gau10,denoised,31.2,0.0007552162751216878
admm_tv,gau10,original,29.0,0.0012685167243367936
admm_tv,gau10,denoised,30.5,0.0008904926732806375
admm_tv,gau10,original,29.0,0.0012676493656286045
admm_tv,gau10,denoised,30.5,0.0008978677501141906
admm_tv,gau10,original,29.0,0.0012635247981545561
