model,noise,type,PSNR,MSE
wiener,gau10,denoised,47.38110229132378,1.827636281327837e-05
wiener,gau10,original,29.18457935065641,0.0012065409457900807
wiener,gau10,denoised,47.296092569598414,1.8637632459252733e-05
wiener,gau10,original,29.17619415169312,0.001208872741253364
wiener,gau10,denoised,47.228778158405774,1.8928760844071152e-05
wiener,gau10,original,29.104928174018397,0.001228873510188389
wiener,gau10,denoised,47.15511931964098,1.9252541492203346e-05
wiener,gau10,original,29.27034451238562,0.0011829477124183005
wiener,gau10,denoised,47.10118169634202,1.9493141277202012e-05
wiener,gau10,original,29.38375365041044,0.0011524567474048442
wiener,gau10,denoised,47.001071646422794,1.994770033343229e-05
wiener,gau10,original,29.068495945855354,0.0012392256824298347
wiener,gau10,denoised,47.363485228100394,1.8350651062520264e-05
wiener,gau10,original,29.4143286032558,0.0011443717800845828
wiener,gau10,denoised,46.824326063680594,2.077626105688927e-05
wiener,gau10,original,29.099516962460104,0.0012304056132256822
wiener,gau10,denoised,47.34948379960022,1.84099080777562e-05
wiener,gau10,original,29.091116813465142,0.0012327877739331027
wiener,gau10,denoised,47.28931131308468,1.8666756773700713e-05
wiener,gau10,original,29.0674531906282,0.0012395232602845062
wiener,gau10,denoised,47.347542939406786,1.8418137296530294e-05
wiener,gau10,original,29.02137954391263,0.0012527431757016533
wiener,gau10,denoised,47.48977817571931,1.7824698082054382e-05
wiener,gau10,original,29.036797320211267,0.001248303729334871
wiener,gau10,denoised,47.46720450407364,1.7917588142856023e-05
wiener,gau10,original,29.01815257565164,0.0012536743560169169
wiener,gau10,denoised,47.50182219298687,1.7775334441769873e-05
wiener,gau10,original,29.05364885461689,0.001243469434832757
wiener,gau10,denoised,47.4857635308757,1.7841182960540125e-05
wiener,gau10,original,29.347121179063283,0.0011622187620146096
wiener,gau10,denoised,47.0563826348149,1.9695260823134748e-05
wiener,gau10,original,29.137562441447,0.001219673971549404
wiener,gau10,denoised,47.27476272806895,1.8729394061712728e-05
wiener,gau10,original,29.141264398137803,0.0012186347558631296
wiener,gau10,denoised,47.24030982104568,1.8878566666136938e-05
wiener,gau10,original,29.18426521875384,0.001206628219915417
wiener,gau10,denoised,47.2412175318179,1.8874621304555044e-05
wiener,gau10,original,29.20910737501707,0.0011997458669742408
