model,noise,type,PSNR,MSE
DnCNN,gau10,denoised,19.05304125,0.012436434
DnCNN,gau10,original,28.88719668,0.001292053
DnCNN,gau10,denoised,18.666323,0.01359464
DnCNN,gau10,original,28.91122748,0.001284923
DnCNN,gau10,denoised,17.93293286,0.016095583
DnCNN,gau10,original,28.96008328,0.00127055
DnCNN,gau10,denoised,17.25593202,0.01881078
DnCNN,gau10,original,28.92522319,0.001280789
DnCNN,gau10,denoised,17.08077013,0.019584973
DnCNN,gau10,original,29.00106129,0.001258618
DnCNN,gau10,denoised,16.84985983,0.020654468
DnCNN,gau10,original,28.97016014,0.001267605
DnCNN,gau10,denoised,16.68631797,0.021447082
DnCNN,gau10,original,29.11835839,0.001225079
DnCNN,gau10,denoised,15.90643891,0.025665877
DnCNN,gau10,original,29.20157904,0.001201827
DnCNN,gau10,denoised,16.16815446,0.024164875
DnCNN,gau10,original,29.22728797,0.001194734
DnCNN,gau10,denoised,15.56489637,0.027765811
DnCNN,gau10,original,29.13213637,0.001221199
DnCNN,gau10,denoised,16.27224258,0.023592597
DnCNN,gau10,original,29.06658171,0.001239772
DnCNN,gau10,denoised,15.54298313,0.027906263
DnCNN,gau10,original,29.03064609,0.001250073
DnCNN,gau10,denoised,16.78570262,0.020961856
DnCNN,gau10,original,28.93945503,0.001276599
DnCNN,gau10,denoised,18.05277583,0.0156575
DnCNN,gau10,original,28.99482391,0.001260427
DnCNN,gau10,denoised,17.37274875,0.018311551
DnCNN,gau10,original,29.00126938,0.001258557
DnCNN,gau10,denoised,16.79661791,0.020909238
DnCNN,gau10,original,28.98145534,0.001264313
DnCNN,gau10,denoised,17.07408475,0.019615145
DnCNN,gau10,original,29.16639294,0.001211604
DnCNN,gau10,denoised,15.72256303,0.026775877
DnCNN,gau10,original,28.9383056,0.001276937
DnCNN,gau10,denoised,18.0371675,0.015713873
DnCNN,gau10,original,28.95842773,0.001271034
DnCNN,gau10,denoised,17.7756533,0.016689167
DnCNN,gau10,original,28.97778965,0.00126538
DnCNN,gau10,denoised,17.99577099,0.015864373
DnCNN,gau10,original,29.01808479,0.001253694
DnCNN,gau10,denoised,16.82761155,0.02076055
DnCNN,gau10,original,29.05845616,0.001242094
DnCNN,gau10,denoised,15.94945851,0.025412895
DnCNN,gau10,original,29.19339683,0.001204094
DnCNN,gau10,denoised,15.42140266,0.028698535
DnCNN,gau10,original,29.25643543,0.001186742
DnCNN,gau10,denoised,14.85896572,0.032666562
DnCNN,gau10,original,29.32517703,0.001168106
DnCNN,gau10,denoised,14.56650778,0.034942118
DnCNN,gau10,original,29.34888832,0.001161746
DnCNN,gau10,denoised,14.41449411,0.036186834
DnCNN,gau10,original,29.51891782,0.001117142
DnCNN,gau10,denoised,13.96550417,0.040128191
DnCNN,gau10,original,29.18205993,0.001207241
DnCNN,gau10,denoised,15.39740775,0.028857535
DnCNN,gau10,original,29.65068686,0.001083755
DnCNN,gau10,denoised,12.51754129,0.056007459
DnCNN,gau10,original,29.09838264,0.001230727
DnCNN,gau10,denoised,16.20894447,0.023938975
DnCNN,gau10,original,29.03295884,0.001249408
DnCNN,gau10,denoised,16.73285061,0.021218513
DnCNN,gau10,original,28.95034036,0.001273403
DnCNN,gau10,denoised,17.27849654,0.018713299
DnCNN,gau10,original,29.0308011,0.001250028
DnCNN,gau10,denoised,17.04163786,0.019762242
DnCNN,gau10,original,28.94913027,0.001273758
DnCNN,gau10,denoised,17.3254058,0.018512259
DnCNN,gau10,original,28.9273995,0.001280148
DnCNN,gau10,denoised,18.23026766,0.015030493
DnCNN,gau10,original,28.88738404,0.001291997
DnCNN,gau10,denoised,18.15852977,0.015280833
DnCNN,gau50,original,15.73786357,0.026681709
DnCNN,gau50,denoised,27.06339689,0.001966348
DnCNN,gau50,original,15.58098268,0.027663156
DnCNN,gau50,denoised,27.29458181,0.001864412
DnCNN,gau50,original,15.55872148,0.027805317
DnCNN,gau50,denoised,27.79578114,0.0016612
