"noise","wiener","admm_tv","admm_dncnn","AE","DnCNN"
"Gaussian: N(0,10)",2e-05,0.00082,0.0012,0.00114,0.03034
"Gaussian: N(0,50)",2e-05,0.00248,0.00125,0.00147,0.0017
"Poisson: Poi(50)",0.03858,0.03839,0.03815,0.00109,0.00167
