model,noise,type,PSNR,MSE
admm_tv,gau10,original,29.409659164816212,0.0011456028450595925
admm_tv,gau10,denoised,31.48176245688689,0.0007109249470476942
admm_tv,gau10,original,29.197654641759637,0.0012029138792772009
admm_tv,gau10,denoised,30.73766179632845,0.0008437889241025985
admm_tv,gau10,original,29.156250972679015,0.0012144367550941946
admm_tv,gau10,denoised,30.70709574505916,0.0008497485369158474
admm_tv,gau10,original,29.09569583581433,0.0012314886582083812
admm_tv,gau10,denoised,30.674036398999323,0.0008562416712612906
admm_tv,gau10,original,29.241925560461357,0.0011907139561707035
admm_tv,gau10,denoised,30.808760927832278,0.0008300875634510263
admm_tv,gau10,original,29.19469352335225,0.001203734332948866
admm_tv,gau10,denoised,30.799060852769863,0.0008319436566735878
admm_tv,gau10,original,29.29621501784534,0.0011759219530949635
admm_tv,gau10,denoised,30.9100495080015,0.0008109518132435363
admm_tv,gau10,original,29.28565652010939,0.00117878431372549
admm_tv,gau10,denoised,30.92932547208257,0.0008073604163344616
admm_tv,gau10,original,29.46219806538597,0.0011318273740868895
admm_tv,gau10,denoised,31.09800785497823,0.0007766032693361988
admm_tv,gau10,original,29.49902537675295,0.001122270280661284
admm_tv,gau10,denoised,31.225448979942232,0.0007541454271679497
admm_tv,gau10,original,29.664952396695046,0.0010802014609765473
admm_tv,gau10,denoised,31.408389598193054,0.000723037862643737
admm_tv,gau10,original,29.302765810973337,0.0011741495578623602
admm_tv,gau10,denoised,31.286990103902603,0.0007435342689086148
admm_tv,gau10,original,29.73040953306433,0.001064042675893887
admm_tv,gau10,denoised,31.504356580050825,0.0007072359719932348
admm_tv,gau10,original,29.243147123115353,0.00119037908496732
admm_tv,gau10,denoised,31.128707074220237,0.0007711330067147128
admm_tv,gau10,original,29.187467107209702,0.0012057389465590154
admm_tv,gau10,denoised,31.00214859779575,0.0007939353515870072
admm_tv,gau10,original,29.095872100661268,0.0012314386774317568
admm_tv,gau10,denoised,30.826787402383303,0.0008266492189851496
admm_tv,gau10,original,29.13124504366413,0.0012214494425221067
admm_tv,gau10,denoised,30.826288393916013,0.0008267442072192758
admm_tv,gau10,original,29.10442682741716,0.0012290153787004993
admm_tv,gau10,denoised,30.78720563305247,0.0008342177700177999
