model,noise,type,PSNR,MSE
admm_dncnn,gau10,original,29.01815257565164,0.0012536743560169169
admm_dncnn,gau10,denoised,29.087614946525672,0.0012337822143171828
admm_dncnn,gau10,original,29.05364885461689,0.001243469434832757
admm_dncnn,gau10,denoised,29.12090340790634,0.001224361484332435
admm_dncnn,gau10,original,29.347121179063283,0.0011622187620146096
admm_dncnn,gau10,denoised,29.580399397836004,0.0011014380114118276
admm_dncnn,gau10,original,29.137562441447,0.001219673971549404
admm_dncnn,gau10,denoised,29.242184059129766,0.0011906430851776712
admm_dncnn,gau10,original,29.141264398137803,0.0012186347558631296
admm_dncnn,gau10,denoised,29.215687968109336,0.0011979293435590715
admm_dncnn,gau10,original,29.18426521875384,0.001206628219915417
admm_dncnn,gau10,denoised,29.26657059003993,0.0011839761144048233
admm_dncnn,gau10,original,29.20910737501707,0.0011997458669742408
admm_dncnn,gau10,denoised,29.248565743442143,0.001188894794851635
admm_dncnn,gau10,original,29.150318236670213,0.0012160968858131484
admm_dncnn,gau10,denoised,29.216426227568697,0.001197725724231103
admm_dncnn,gau10,original,29.258551995376802,0.0011861641676278356
admm_dncnn,gau10,denoised,29.335924996800212,0.0011652188463263328
admm_dncnn,gau10,original,29.340678199757058,0.0011639442522106882
admm_dncnn,gau10,denoised,29.42512332761037,0.0011415308878414373
admm_dncnn,gau10,original,29.301201817186907,0.0011745724721261052
admm_dncnn,gau10,denoised,29.417851708317148,0.0011434438136250155
admm_dncnn,gau10,original,29.447463276735984,0.0011356739715494039
admm_dncnn,gau10,denoised,29.53611464053532,0.001112726768740209
admm_dncnn,gau10,original,29.517278899979196,0.0011175632449058053
admm_dncnn,gau10,denoised,29.613545811828857,0.0010930635664508019
admm_dncnn,gau10,original,29.314717663310603,0.0011709227220299886
admm_dncnn,gau10,denoised,29.56931989024866,0.001104251533320376
admm_dncnn,gau10,original,29.61130749819418,0.0010936270665128792
admm_dncnn,gau10,denoised,29.752266115840467,0.001058701158750249
admm_dncnn,gau10,original,29.34483891518838,0.0011628296808919645
admm_dncnn,gau10,denoised,29.54387944251812,0.001110739088926094
admm_dncnn,gau10,original,29.29980180966493,0.0011749511726259134
